Name,Email,Institution,Event,Status,When,Source
"Šime Pranjić","qa.flow.1788118183@example.org","KBC Rijeka","Building Bridges: Boston Symposium","FREE","2026-08-30 19:30:00","QA flow 1788118183"
"Šimun Vuković","simun.vukovic@example.org","KBC Split","Building Bridges: Boston Symposium","FREE","2026-08-30 19:26:56","QA Boston — diaspora mailing"
"Katarina Testović","katarina.testovic@example.org","KBC Zagreb","Building Bridges: Boston Symposium","CANCELLED","2026-08-30 19:26:34","Public registration form"
"Member 043 Test","member043@staging.medx.hr","GOLDEN TICKET GLOBAL","Plexus Conference","FREE","2026-08-28 11:06:37","Member portal"
"Member 043 Test","member043@staging.medx.hr","GOLDEN TICKET GLOBAL","Building Bridges","FREE","2026-08-28 11:06:37","Member portal"
"Member 089 Test","member089@staging.medx.hr","Keller Williams","Plexus Conference","FREE","2026-08-26 23:02:30","Public form — Plexus Experience"
"Member 088 Test","member088@staging.medx.hr","Trinity College Dublin","Plexus Conference","FREE","2026-08-25 21:54:51","Public form — Plexus Experience"
"Member 088 Test","member088@staging.medx.hr","Trinity College Dublin","Building Bridges","FREE","2026-08-25 21:54:51","Public form — Plexus Experience"
"Member 088 Test","member088@staging.medx.hr","Trinity College Dublin","Gala Evening","PAID","2026-08-25 21:54:50","Public registration form"
"Member 087 Test","member087@staging.medx.hr","University of South Florida","Plexus Conference","FREE","2026-08-25 14:27:56","Public form — Plexus Experience"
"Member 087 Test","member087@staging.medx.hr","University of South Florida","Building Bridges","FREE","2026-08-25 14:27:56","Public form — Plexus Experience"
"Member 087 Test","member087@staging.medx.hr","University of South Florida","Gala Evening","PAID","2026-08-25 14:27:55","Public registration form"
"Member 086 Test","member086@staging.medx.hr","i-Physio by Member 086 Test","Plexus Conference","FREE","2026-08-24 19:42:08","Public form — Plexus Experience"
"Member 086 Test","member086@staging.medx.hr","i-Physio by Member 086 Test","Building Bridges","FREE","2026-08-24 19:42:08","Public form — Plexus Experience"
"Member 086 Test","member086@staging.medx.hr","i-Physio by Member 086 Test","Gala Evening","PAID","2026-08-24 19:42:07","Public registration form"
"Member 085 Test","member085@staging.medx.hr","Skaggs School of Pharmacy and Pharm. Sci., UC San Diego","Plexus Conference","FREE","2026-08-24 19:17:58","Public form — Plexus Experience"
"Member 085 Test","member085@staging.medx.hr","Skaggs School of Pharmacy and Pharm. Sci., UC San Diego","Building Bridges","FREE","2026-08-24 19:17:58","Public form — Plexus Experience"
"Member 084 Test","member084@staging.medx.hr","University of Pennsylvania","Plexus Conference","FREE","2026-08-24 18:01:29","Public form — Plexus Experience"
"Member 084 Test","member084@staging.medx.hr","University of Pennsylvania","Building Bridges","FREE","2026-08-24 18:01:29","Public form — Plexus Experience"
"Member 084 Test","member084@staging.medx.hr","University of Pennsylvania","Gala Evening","PAID","2026-08-24 18:01:28","Public registration form"
"Member 083 Test","member083@staging.medx.hr","B&B LABORATORY","Plexus Conference","FREE","2026-08-23 21:54:27","Public form — Plexus Experience"
"Member 083 Test","member083@staging.medx.hr","B&B LABORATORY","Building Bridges","FREE","2026-08-23 21:54:27","Public form — Plexus Experience"
"Member 040 Test","member040@staging.medx.hr","KBCSM","Gala Evening","PAID","2026-08-22 16:01:53","Member portal — Gala section"
"Member 040 Test","member040@staging.medx.hr","KBCSM","Plexus Conference","FREE","2026-08-22 16:01:53","Member portal"
