"Name","Email","Country","Tags","Unsubscribed","GDPR consent","Consent note"
"E2E Party","e2eparty@example.com","","GALA PAID","no","",""
"Ivan Horvat","ivan.horvat@test.medx.hr","Croatia","MEMBER","no","",""
"Maria Kovac","maria.kovac@test.medx.hr","Croatia","MEMBER","no","",""
"Member 001 Test","member001@staging.medx.hr","Croatia","MEMBER","no","",""
"Member 002 Test","member002@staging.medx.hr","Croatia","MEMBER","no","",""
"Member 003 Test","member003@staging.medx.hr","Croatia","MEMBER","no","",""
"Member 004 Test","member004@staging.medx.hr","United States","MEMBER · GALA — TO CHASE","no","",""
"Member 005 Test","member005@staging.medx.hr","Croatia","MEMBER · GALA PAID","no","",""
"Member 006 Test","member006@staging.medx.hr","Croatia","MEMBER","no","",""
"Member 007 Test","member007@staging.medx.hr","HR","MEMBER · GALA PAID · FORUM","no","",""
"Member 008 Test","member008@staging.medx.hr","HR","MEMBER","no","",""
"Member 009 Test","member009@staging.medx.hr","HR","MEMBER","no","",""
"Member 010 Test","member010@staging.medx.hr","HR","MEMBER · GALA PAID · FORUM","no","",""
"Member 011 Test","member011@staging.medx.hr","HR","MEMBER","no","",""
"Member 012 Test","member012@staging.medx.hr","HR","MEMBER","no","",""
"Member 013 Test","member013@staging.medx.hr","HR","MEMBER","no","",""
"Member 014 Test","member014@staging.medx.hr","Croatia","MEMBER","no","",""
"Member 015 Test","member015@staging.medx.hr","Croatia","MEMBER","no","",""
"Member 016 Test","member016@staging.medx.hr","Croatia ","MEMBER · GALA — TO CHASE","no","",""
"Member 017 Test","member017@staging.medx.hr","HR","MEMBER · GALA PAID","no","",""
"Member 018 Test","member018@staging.medx.hr","HR","MEMBER · PLEXUS","no","",""
"Member 019 Test","member019@staging.medx.hr","AT","MEMBER · GALA PAID · PLEXUS","no","",""
"Member 020 Test","member020@staging.medx.hr","","MEMBER","no","",""
"Member 021 Test","member021@staging.medx.hr","HR","MEMBER","no","",""
"Member 022 Test","member022@staging.medx.hr","","MEMBER · FORUM","no","",""
"Member 023 Test","member023@staging.medx.hr","","MEMBER · FORUM","no","",""
"Member 024 Test","member024@staging.medx.hr","HR","MEMBER","no","",""
"Member 025 Test","member025@staging.medx.hr","CH","MEMBER","no","",""
"Member 026 Test","member026@staging.medx.hr","DE","MEMBER · GALA PAID","no","",""
"Member 027 Test","member027@staging.medx.hr","HR","MEMBER","no","",""
"Member 028 Test","member028@staging.medx.hr","HR","MEMBER · GALA PAID","no","",""
"Member 029 Test","member029@staging.medx.hr","IE","MEMBER","no","",""
"Member 030 Test","member030@staging.medx.hr","Croatia","MEMBER","no","",""
"Member 031 Test","member031@staging.medx.hr","US","MEMBER","no","",""
"Member 032 Test","member032@staging.medx.hr","CH","MEMBER","no","",""
"Member 033 Test","member033@staging.medx.hr","US","MEMBER","no","",""
"Member 034 Test","member034@staging.medx.hr","US","MEMBER","no","",""
"Member 035 Test","member035@staging.medx.hr","US","MEMBER","no","",""
"Member 036 Test","member036@staging.medx.hr","GH","MEMBER","no","",""
"Member 037 Test","member037@staging.medx.hr","GB","MEMBER","no","",""
"Member 038 Test","member038@staging.medx.hr","US","MEMBER","no","",""
"Member 039 Test","member039@staging.medx.hr","HR","MEMBER","no","",""
"Member 040 Test","member040@staging.medx.hr","HR","MEMBER · GALA PAID","no","",""
"Member 041 Test","member041@staging.medx.hr","GH","MEMBER","no","",""
"Member 042 Test","member042@staging.medx.hr","HR","MEMBER","no","",""
"Member 043 Test","member043@staging.medx.hr","GH","MEMBER","no","",""
"Member 047 Test","member047@staging.medx.hr","","GALA PAID","no","",""
"Member 050 Test","member050@staging.medx.hr","","GALA — TO CHASE","no","",""
"Member 053 Test","member053@staging.medx.hr","","GALA PAID","no","",""
"Member 057 Test","member057@staging.medx.hr","","GALA PAID","no","",""
"Member 058 Test","member058@staging.medx.hr","","GALA PAID","no","",""
"Member 060 Test","member060@staging.medx.hr","","GALA PAID","no","",""
"Member 061 Test","member061@staging.medx.hr","","GALA — TO CHASE","no","",""
"Member 062 Test","member062@staging.medx.hr","","GALA PAID","no","",""
"Member 063 Test","member063@staging.medx.hr","","GALA PAID","no","",""
"Member 067 Test","member067@staging.medx.hr","","GALA PAID","no","",""
"Member 068 Test","member068@staging.medx.hr","","GALA PAID","no","",""
"Member 069 Test","member069@staging.medx.hr","","GALA PAID","no","",""
"Member 071 Test","member071@staging.medx.hr","","GALA PAID","no","",""
"Member 073 Test","member073@staging.medx.hr","","GALA PAID","no","",""
"Member 076 Test","member076@staging.medx.hr","","GALA PAID","no","",""
"Member 079 Test","member079@staging.medx.hr","","GALA PAID","no","",""
"Member 080 Test","member080@staging.medx.hr","","GALA PAID","no","",""
"Member 084 Test","member084@staging.medx.hr","","GALA PAID","no","",""
"Member 086 Test","member086@staging.medx.hr","","GALA — TO CHASE","no","",""
"Member 087 Test","member087@staging.medx.hr","","GALA PAID","no","",""
"Member 088 Test","member088@staging.medx.hr","","GALA — TO CHASE","no","",""
"Petra Babic","petra.babic@test.medx.hr","Croatia","MEMBER","no","",""
